YEAR,state abb,RATE,DEATHS,state lowercase,STATE,
2020,AL,22.3,1029,alabama,Alabama,
2020,AK,22,160,alaska,Alaska,
2020,AZ,35.8,2550,arizona,Arizona,
2020,AR,19.1,546,arkansas,Arkansas,
2020,CA,21.8,8908,california,California,
2020,CO,24.9,1492,colorado,Colorado,
2020,CT,39.1,1371,conneticuit,Conneticuit,
2020,DE,47.3,444,delaware,Delaware,
2020,FL,35,7231,flordia,Flordia,
2020,GA,18,1916,georgia,Georgia,
2020,HI,18.3,274,hawaii,Hawaii,
2020,ID,15.9,287,idaho,Idaho,
2020,IL,28.1,3549,illinois,Illinois,
2020,IN,36.7,2321,indiana,Indiana,
2020,IA,14.3,432,iowa,Iowa,
2020,KS,17.4,490,kansas,Kansas,
2020,KY,49.2,2083,kentucky,Kentucky,
2020,LA,42.7,1896,louisiana,Louisiana,
2020,ME,39.7,496,maine,Maine,
2020,MD,44.6,2771,maryland,Maryland,
2020,MA,33.9,2302,massachusetts,Massachusetts,
2020,MI,28.6,2759,michigan,Michigan,
2020,MN,19,1050,minnesota,Minnesota,
2020,MS,21.1,586,mississippi,Mississippi,
2020,MO,32.1,1875,missouri,Missouri,
2020,MT,15.6,162,montana,Montana,
2020,NE,11.3,214,nebraska,Nebraska,
2020,NV,26,832,nevada,Nevada,
2020,NH,30.3,393,new hampshire,New Hampshire,
2020,NJ,32.1,2840,new jersey,New Jersey,
2020,NM,39,784,new mexico,New Mexico,
2020,NY,25.4,4965,new york,New York,
2020,NC,30.9,3146,north carolina,North Carolina,
2020,ND,15.6,114,north dakota,North Dakota,
2020,OH,47.2,5204,ohio,Ohio,
2020,OK,19.4,762,oklahoma,Oklahoma,
2020,OR,18.7,803,oregon,Oregon,
2020,PA,42.4,5168,pennsylvania,Pennsylvania,
2020,RI,38.2,397,rhode island,Rhode Island,
2020,SC,34.9,1739,south carolina,South Carolina,
2020,SD,10.3,83,south dakota,South Dakota,
2020,TN,45.6,3034,tennessee,Tennessee,
2020,TX,14.1,4172,texas,Texas,
2020,UT,20.5,622,utah,Utah,
2020,VT,32.9,190,vermont,Vermont,
2020,VA,26.6,2240,virginia,Virginia,
2020,WA,22,1733,washington,Washington,
2020,WV,81.4,1330,west virginia,West Virginia,
2020,WI,27.7,1531,wisconsin,Wisconsin,
2020,WY,17.4,99,wyoming,Wyoming,
2019,AL,16.3,768,alabama,Alabama,
2019,AK,17.8,132,alaska,Alaska,
2019,AZ,26.8,1907,arizona,Arizona,
2019,AR,13.5,388,arizona,Arizona,
2019,CA,15,6198,california,California,
2019,CO,18,1079,colorado,Colorado,
2019,CT,34.7,1214,conneticuit,Conneticuit,
2019,DE,48,435,delaware,Delaware,
2019,FL,25.5,5268,flordia,Flordia,
2019,GA,13.1,1408,georgia,Georgia,
2019,HI,15.9,242,hawaii,Hawaii,
2019,ID,15.1,265,idaho,Idaho,
2019,IL,21.9,2790,illinois,Illinois,
2019,IN,26.6,1699,indiana,Indiana,
2019,IA,11.5,352,iowa,Iowa,
2019,KS,14.3,403,kansas,Kansas,
2019,KY,32.5,1380,kentucky,Kentucky,
2019,LA,28.3,1267,louisiana,Louisiana,
2019,ME,29.9,371,maine,Maine,
2019,MD,38.2,2369,maryland,Maryland,
2019,MA,32.1,2210,massachusetts,Massachusetts,
2019,MI,24.4,2385,michigan,Michigan,
2019,MN,14.2,792,minnesota,Minnesota,
2019,MS,13.6,394,mississippi,Mississippi,
